geometry,temperature_K,state_index,spin1_index,spin2_index,p_initial,p_equilibrium,p_end,p_time_mean
face,201.0,48,6,0,0.015625,7.431756780933894e-08,0.015105720246862285,0.015363881802165124
face,201.0,49,6,1,0.015625,8.788524136168103e-06,0.014253360365754697,0.014928416279468545
face,201.0,50,6,2,0.015625,6.2844463979635e-10,0.015432999103340046,0.015528801989459948
face,201.0,51,6,3,0.015625,7.431756780933894e-08,0.01510572024686225,0.01536388180216509
face,201.0,52,6,4,0.015625,0.0010392987656722445,0.01597128767605883,0.01579996547056152
face,201.0,53,6,5,0.015625,0.12290367615680298,0.017520306514945284,0.016582739581397794
face,201.0,54,6,6,0.015625,8.788524136168103e-06,0.015639318170118925,0.015632347604221657
face,201.0,55,6,7,0.015625,0.0010392987656722445,0.015971287676062235,0.015799965470564996
face,201.0,56,7,0,0.015625,8.788524136168103e-06,0.014253360365754619,0.014928416279468464
face,201.0,57,7,1,0.015625,7.431756780933894e-08,0.015105720246862256,0.01536388180216509
face,201.0,58,7,2,0.015625,7.431756780933894e-08,0.015105720246862225,0.015363881802165065
face,201.0,59,7,3,0.015625,6.2844463979635e-10,0.015432999103340016,0.015528801989459917
face,201.0,60,7,4,0.015625,0.12290367615680298,0.01752030651493927,0.01658273958139176
face,201.0,61,7,5,0.015625,0.0010392987656722445,0.015971287676060777,0.01579996547056354
face,201.0,62,7,6,0.015625,0.0010392987656722445,0.015971287676061145,0.015799965470563847
face,201.0,63,7,7,0.015625,8.788524136168103e-06,0.01563931817011807,0.015632347604220782
face,202.0,0,0,0,0.015625,9.210078636390509e-06,0.01564057670314833,0.01563303594156255
face,202.0,1,0,1,0.015625,0.0010637174719168232,0.01601841027629377,0.015824074783003225
face,202.0,2,0,2,0.015625,0.0010637174719168232,0.016018410276294998,0.01582407478300448
face,202.0,3,0,3,0.015625,0.12285398471956584,0.017773030929954074,0.016711914174613915
face,202.0,4,0,4,0.015625,6.90458259714774e-10,0.015404538373342129,0.015514508482111769
face,202.0,5,0,5,0.015625,7.974443470937906e-08,0.0150333778535561,0.015327265088435505
face,202.0,6,0,6,0.015625,7.974443470937906e-08,0.015033377853556192,0.015327265088435595
face,202.0,7,0,7,0.015625,9.210078636390509e-06,0.014078277733899679,0.014837861658879025
face,202.0,8,1,0,0.015625,0.0010637174719168232,0.016018410276293468,0.01582407478300295
face,202.0,9,1,1,0.015625,9.210078636390509e-06,0.015640576703146367,0.015633035941560586
face,202.0,10,1,2,0.015625,0.12285398471956584,0.01777303092992131,0.01671191417458033
face,202.0,11,1,3,0.015625,0.0010637174719168232,0.016018410276291105,0.015824074783000658
face,202.0,12,1,4,0.015625,7.974443470937906e-08,0.015033377853556174,0.01532726508843558
face,202.0,13,1,5,0.015625,6.90458259714774e-10,0.015404538373342137,0.015514508482111774
face,202.0,14,1,6,0.015625,9.210078636390509e-06,0.01407827773389909,0.014837861658878503
face,202.0,15,1,7,0.015625,7.974443470937906e-08,0.015033377853556127,0.01532726508843553
face,202.0,16,2,0,0.015625,0.0010637174719168232,0.01601841027629361,0.01582407478300307
face,202.0,17,2,1,0.015625,0.12285398471956584,0.01777303092992333,0.016711914174582315
face,202.0,18,2,2,0.015625,9.210078636390509e-06,0.01564057670314609,0.015633035941560305
face,202.0,19,2,3,0.015625,0.0010637174719168232,0.016018410276301923,0.015824074783011392
face,202.0,20,2,4,0.015625,7.974443470937906e-08,0.015033377853556136,0.015327265088435536
face,202.0,21,2,5,0.015625,9.210078636390509e-06,0.014078277733899275,0.014837861658878588
face,202.0,22,2,6,0.015625,6.90458259714774e-10,0.01540453837334214,0.01551450848211178
face,202.0,23,2,7,0.015625,7.974443470937906e-08,0.015033377853556113,0.015327265088435515
face,202.0,24,3,0,0.015625,0.12285398471956584,0.017773030929882316,0.016711914174541088
face,202.0,25,3,1,0.015625,0.0010637174719168232,0.016018410276292364,0.01582407478300188
face,202.0,26,3,2,0.015625,0.0010637174719168232,0.01601841027629322,0.015824074783002736
face,202.0,27,3,3,0.015625,9.210078636390509e-06,0.01564057670314321,0.015633035941557405
face,202.0,28,3,4,0.015625,9.210078636390509e-06,0.014078277733899377,0.014837861658878702
face,202.0,29,3,5,0.015625,7.974443470937906e-08,0.015033377853556105,0.01532726508843551
face,202.0,30,3,6,0.015625,7.974443470937906e-08,0.01503337785355609,0.015327265088435493
face,202.0,31,3,7,0.015625,6.90458259714774e-10,0.015404538373342115,0.015514508482111757
face,202.0,32,4,0,0.015625,6.90458259714774e-10,0.015404538373342127,0.015514508482111769
face,202.0,33,4,1,0.015625,7.974443470937906e-08,0.015033377853556133,0.015327265088435533
face,202.0,34,4,2,0.015625,7.974443470937906e-08,0.01503337785355613,0.015327265088435533
face,202.0,35,4,3,0.015625,9.210078636390509e-06,0.014078277733899518,0.014837861658878883
