R_nm,E_kcalmol_per_NC_axis,halfwidth_kcalmol
10.320488,-0.459976,0.023895
10.339565,-0.459976,0.023895
10.358642,-0.459976,0.023895
10.377718,-0.459976,0.023895
10.396795,-0.459976,0.023895
10.415872,-0.459976,0.023895
10.434948,-0.459976,0.023895
10.454025,-0.459976,0.023895
10.473102,-0.459976,0.023895
10.492179,-0.459976,0.023895
10.511255,-0.459976,0.023895
10.530332,-0.412186,0.071685
10.549409,-0.412186,0.071685
10.568485,-0.412186,0.071685
10.587562,-0.412186,0.071685
10.606639,-0.412186,0.071685
10.625715,-0.412186,0.071685
10.644792,-0.412186,0.071685
10.663869,-0.412186,0.071685
10.682945,-0.412186,0.071685
10.702022,-0.412186,0.071685
10.721099,-0.412186,0.071685
10.740176,-0.412186,0.071685
10.759252,-0.412186,0.071685
10.778329,-0.412186,0.071685
10.797406,-0.412186,0.071685
10.816482,-0.412186,0.071685
10.835559,-0.412186,0.071685
10.854636,-0.412186,0.071685
10.873712,-0.412186,0.071685
10.892789,-0.412186,0.071685
10.911866,-0.376344,0.035842
10.930942,-0.376344,0.035842
10.950019,-0.376344,0.035842
10.969096,-0.376344,0.035842
10.988172,-0.376344,0.035842
11.007249,-0.376344,0.035842
11.026326,-0.376344,0.035842
11.045403,-0.376344,0.035842
11.064479,-0.376344,0.035842
11.083556,-0.376344,0.035842
11.102633,-0.376344,0.035842
11.121709,-0.376344,0.035842
11.140786,-0.376344,0.035842
11.159863,-0.376344,0.035842
11.178939,-0.376344,0.035842
11.198016,-0.376344,0.035842
11.217093,-0.376344,0.035842
11.236169,-0.376344,0.035842
11.255246,-0.376344,0.035842
11.274323,-0.376344,0.035842
11.293399,-0.376344,0.035842
11.312476,-0.376344,0.035842
11.331553,-0.376344,0.035842
11.350630,-0.376344,0.035842
11.369706,-0.376344,0.035842
11.388783,-0.376344,0.035842
11.407860,-0.376344,0.035842
11.426936,-0.376344,0.035842
11.446013,-0.376344,0.035842
11.465090,-0.376344,0.035842
11.484166,-0.340502,0.071685
11.503243,-0.340502,0.071685
11.522320,-0.340502,0.071685
11.541396,-0.340502,0.071685
11.560473,-0.340502,0.071685
11.579550,-0.340502,0.071685
11.598626,-0.340502,0.071685
11.617703,-0.340502,0.071685
11.636780,-0.340502,0.071685
11.655857,-0.340502,0.071685
11.674933,-0.340502,0.071685
11.694010,-0.340502,0.071685
11.713087,-0.340502,0.071685
11.732163,-0.340502,0.071685
11.751240,-0.340502,0.071685
11.770317,-0.340502,0.071685
11.789393,-0.340502,0.071685
11.808470,-0.340502,0.071685
11.827547,-0.340502,0.071685
11.846623,-0.340502,0.071685
11.865700,-0.340502,0.071685
11.884777,-0.340502,0.071685
11.903853,-0.340502,0.071685
11.922930,-0.340502,0.071685
11.942007,-0.340502,0.071685
11.961084,-0.340502,0.071685
11.980160,-0.340502,0.071685
11.999237,-0.292712,0.023895
12.018314,-0.292712,0.023895
12.037390,-0.292712,0.023895
12.056467,-0.292712,0.023895
12.075544,-0.292712,0.023895
12.094620,-0.292712,0.023895
12.113697,-0.292712,0.023895
12.132774,-0.292712,0.023895
12.151850,-0.292712,0.023895
12.170927,-0.292712,0.023895
12.190004,-0.292712,0.023895
12.209081,-0.292712,0.023895
12.228157,-0.292712,0.023895
12.247234,-0.292712,0.023895
12.266311,-0.292712,0.023895
12.285387,-0.292712,0.023895
12.304464,-0.292712,0.023895
12.323541,-0.292712,0.023895
12.342617,-0.292712,0.023895
12.361694,-0.292712,0.023895
12.380771,-0.292712,0.023895
12.399847,-0.292712,0.023895
12.418924,-0.292712,0.023895
12.438001,-0.292712,0.023895
12.457077,-0.292712,0.023895
12.476154,-0.292712,0.023895
12.495231,-0.292712,0.023895
12.514308,-0.256870,0.059737
12.533384,-0.256870,0.059737
12.552461,-0.256870,0.059737
12.571538,-0.256870,0.059737
12.590614,-0.256870,0.059737
12.609691,-0.256870,0.059737
12.628768,-0.256870,0.059737
12.647844,-0.256870,0.059737
12.666921,-0.256870,0.059737
12.685998,-0.256870,0.059737
12.705074,-0.256870,0.059737
12.724151,-0.256870,0.059737
12.743228,-0.256870,0.059737
12.762304,-0.256870,0.059737
12.781381,-0.256870,0.059737
12.800458,-0.256870,0.059737
12.819535,-0.256870,0.059737
12.838611,-0.256870,0.059737
12.857688,-0.256870,0.059737
12.876765,-0.256870,0.059737
12.895841,-0.256870,0.059737
12.914918,-0.256870,0.059737
12.933995,-0.256870,0.059737
12.953071,-0.256870,0.059737
12.972148,-0.256870,0.059737
12.991225,-0.256870,0.059737
13.010301,-0.256870,0.059737
13.029378,-0.256870,0.059737
13.048455,-0.256870,0.059737
13.067531,-0.256870,0.059737
13.086608,-0.221027,0.023895
13.105685,-0.221027,0.023895
13.124762,-0.221027,0.023895
13.143838,-0.221027,0.023895
13.162915,-0.221027,0.023895
13.181992,-0.221027,0.023895
13.201068,-0.221027,0.023895
13.220145,-0.221027,0.023895
13.239222,-0.221027,0.023895
13.258298,-0.221027,0.023895
13.277375,-0.221027,0.023895
13.296452,-0.221027,0.023895
13.315528,-0.221027,0.023895
13.334605,-0.221027,0.023895
13.353682,-0.221027,0.023895
13.372758,-0.221027,0.023895
13.391835,-0.221027,0.023895
13.410912,-0.221027,0.023895
13.429989,-0.221027,0.023895
13.449065,-0.221027,0.023895
13.468142,-0.221027,0.023895
13.487219,-0.221027,0.023895
13.506295,-0.221027,0.023895
13.525372,-0.221027,0.023895
13.544449,-0.221027,0.023895
13.563525,-0.221027,0.023895
13.582602,-0.221027,0.023895
13.601679,-0.221027,0.023895
13.620755,-0.221027,0.023895
13.639832,-0.221027,0.023895
13.658909,-0.221027,0.023895
13.677986,-0.221027,0.023895
13.697062,-0.221027,0.023895
13.716139,-0.221027,0.023895
13.735216,-0.221027,0.023895
13.754292,-0.221027,0.023895
13.773369,-0.221027,0.023895
13.792446,-0.221027,0.023895
13.811522,-0.221027,0.023895
13.830599,-0.221027,0.023895
13.849676,-0.221027,0.023895
13.868752,-0.221027,0.023895
13.887829,-0.221027,0.023895
13.906906,-0.173238,0.071685
13.925982,-0.173238,0.071685
13.945059,-0.173238,0.071685
13.964136,-0.173238,0.071685
13.983213,-0.173238,0.071685
14.002289,-0.173238,0.071685
14.021366,-0.173238,0.071685
14.040443,-0.173238,0.071685
14.059519,-0.173238,0.071685
14.078596,-0.173238,0.071685
14.097673,-0.173238,0.071685
14.116749,-0.173238,0.071685
14.135826,-0.173238,0.071685
14.154903,-0.173238,0.071685
14.173979,-0.173238,0.071685
14.193056,-0.173238,0.071685
14.212133,-0.173238,0.071685
14.231209,-0.173238,0.071685
14.250286,-0.173238,0.071685
14.269363,-0.173238,0.071685
14.288440,-0.173238,0.071685
14.307516,-0.173238,0.071685
14.326593,-0.173238,0.071685
14.345670,-0.173238,0.071685
14.364746,-0.173238,0.071685
14.383823,-0.173238,0.071685
14.402900,-0.173238,0.071685
14.421976,-0.173238,0.071685
14.441053,-0.173238,0.071685
14.460130,-0.173238,0.071685
14.479206,-0.173238,0.071685
14.498283,-0.173238,0.071685
14.517360,-0.173238,0.071685
14.536436,-0.173238,0.071685
14.555513,-0.173238,0.071685
14.574590,-0.173238,0.071685
14.593667,-0.173238,0.071685
14.612743,-0.173238,0.071685
14.631820,-0.173238,0.071685
14.650897,-0.173238,0.071685
14.669973,-0.173238,0.071685
14.689050,-0.173238,0.071685
14.708127,-0.173238,0.071685
14.727203,-0.173238,0.071685
14.746280,-0.173238,0.071685
14.765357,-0.173238,0.071685
14.784433,-0.173238,0.071685
14.803510,-0.173238,0.071685
14.822587,-0.173238,0.071685
14.841663,-0.173238,0.071685
14.860740,-0.173238,0.071685
14.879817,-0.173238,0.071685
14.898894,-0.173238,0.071685
14.917970,-0.137395,0.035842
14.937047,-0.137395,0.035842
14.956124,-0.137395,0.035842
14.975200,-0.137395,0.035842
14.994277,-0.137395,0.035842
15.013354,-0.137395,0.035842
15.032430,-0.137395,0.035842
15.051507,-0.137395,0.035842
15.070584,-0.137395,0.035842
15.089660,-0.137395,0.035842
15.108737,-0.137395,0.035842
15.127814,-0.137395,0.035842
15.146890,-0.137395,0.035842
15.165967,-0.137395,0.035842
15.185044,-0.137395,0.035842
15.204121,-0.137395,0.035842
15.223197,-0.137395,0.035842
15.242274,-0.137395,0.035842
15.261351,-0.137395,0.035842
15.280427,-0.137395,0.035842
15.299504,-0.137395,0.035842
15.318581,-0.137395,0.035842
15.337657,-0.137395,0.035842
15.356734,-0.137395,0.035842
15.375811,-0.137395,0.035842
15.394887,-0.137395,0.035842
15.413964,-0.137395,0.035842
15.433041,-0.137395,0.035842
15.452118,-0.137395,0.035842
15.471194,-0.137395,0.035842
15.490271,-0.137395,0.035842
15.509348,-0.137395,0.035842
15.528424,-0.137395,0.035842
15.547501,-0.137395,0.035842
15.566578,-0.137395,0.035842
15.585654,-0.137395,0.035842
15.604731,-0.137395,0.035842
15.623808,-0.137395,0.035842
15.642884,-0.137395,0.035842
15.661961,-0.137395,0.035842
15.681038,-0.137395,0.035842
15.700114,-0.137395,0.035842
15.719191,-0.137395,0.035842
15.738268,-0.137395,0.035842
15.757345,-0.137395,0.035842
15.776421,-0.137395,0.035842
15.795498,-0.137395,0.035842
15.814575,-0.137395,0.035842
15.833651,-0.137395,0.035842
15.852728,-0.137395,0.035842
15.871805,-0.137395,0.035842
15.890881,-0.137395,0.035842
15.909958,-0.137395,0.035842
15.929035,-0.137395,0.035842
15.948111,-0.137395,0.035842
15.967188,-0.137395,0.035842
15.986265,-0.137395,0.035842
16.005341,-0.137395,0.035842
16.024418,-0.137395,0.035842
16.043495,-0.137395,0.035842
16.062572,-0.101553,0.071685
16.081648,-0.101553,0.071685
16.100725,-0.101553,0.071685
16.119802,-0.101553,0.071685
16.138878,-0.101553,0.071685
16.157955,-0.101553,0.071685
16.177032,-0.101553,0.071685
16.196108,-0.101553,0.071685
16.215185,-0.101553,0.071685
16.234262,-0.101553,0.071685
16.253338,-0.101553,0.071685
16.272415,-0.101553,0.071685
16.291492,-0.101553,0.071685
16.310568,-0.101553,0.071685
16.329645,-0.101553,0.071685
16.348722,-0.101553,0.071685
16.367799,-0.101553,0.071685
16.386875,-0.101553,0.071685
16.405952,-0.101553,0.071685
16.425029,-0.101553,0.071685
16.444105,-0.101553,0.071685
16.463182,-0.101553,0.071685
16.482259,-0.101553,0.071685
16.501335,-0.101553,0.071685
16.520412,-0.101553,0.071685
16.539489,-0.101553,0.071685
16.558565,-0.101553,0.071685
16.577642,-0.101553,0.071685
16.596719,-0.101553,0.071685
16.615795,-0.101553,0.071685
16.634872,-0.101553,0.071685
16.653949,-0.101553,0.071685
16.673026,-0.101553,0.071685
16.692102,-0.101553,0.071685
16.711179,-0.101553,0.071685
16.730256,-0.101553,0.071685
16.749332,-0.101553,0.071685
16.768409,-0.101553,0.071685
16.787486,-0.101553,0.071685
16.806562,-0.101553,0.071685
16.825639,-0.101553,0.071685
16.844716,-0.101553,0.071685
