geometry,temperature_K,window_s,center_distance_nm,rotation_mobility,extra_contact_barrier_kBT,tau_B_free_s,tau_joint_s,hexane_viscosity_Pa_s,Udd_time_mean_J,Udd_end_J,Udd_eq_J,Udd_initial_J,Neel_only_Udd_time_mean_J,vdW_J,Brownian_max_transition_barrier_J,detailed_balance_relative_error,kBT_J,Udd_time_mean_kBT,Udd_end_kBT,Udd_eq_kBT,Udd_initial_kBT,Neel_only_Udd_time_mean_kBT,vdW_kBT,Brownian_max_transition_barrier_kBT,kBT_kBT
face,267.0,20.0,19.0,1.0,0.0,1.218931781180093e-06,0.0016101256638966514,0.0004170549351357412,-2.57609533687466e-20,-2.5760954943201287e-20,-2.5760954943201275e-20,0.0,-2.368053724484394e-20,-4.8834370285786125e-21,2.6490341049134006e-20,4.842657993806891e-17,3.68633283e-21,-6.988233172843104,-6.988233599949055,-6.9882335999490515,0.0,-6.423873897692505,-1.3247412140424153,7.186095849390248,1.0
face,268.0,20.0,19.0,1.0,0.0,1.2003017831169826e-06,0.0015435676227615659,0.0004122188506758385,-2.5751094786829828e-20,-2.5751096336255e-20,-2.575109633625501e-20,0.0,-2.3828411002986188e-20,-4.8834370285786125e-21,2.6490341049134006e-20,6.356309590358409e-17,3.7001393200000004e-21,-6.959493294655139,-6.9594937134029315,-6.959493713402934,0.0,-6.439868594727991,-1.3197981498109137,7.159282058907448,1.0
face,269.0,20.0,19.0,1.0,0.0,1.1820389852414607e-06,0.0014801591815211254,0.00040746159715907004,-2.5741177374479256e-20,-2.5741178899374544e-20,-2.5741178899374568e-20,0.0,-2.396325118455057e-20,-4.8834370285786125e-21,2.6490341049134006e-20,4.380429965744043e-17,3.71394581e-21,-6.930951255446362,-6.9309516660326675,-6.930951666032674,0.0,-6.452235011083958,-1.3148918369863378,7.132667627461696,1.0
face,270.0,20.0,19.0,1.0,0.0,1.1641348269541118e-06,0.0014197338378255284,0.00040278162433349864,-2.573120148299804e-20,-2.573120298385137e-20,-2.573120298385136e-20,0.0,-2.4086197675305023e-20,-4.8834370285786125e-21,2.6490341049134006e-20,4.3128204608975936e-17,3.7277523000000004e-21,-6.902604951245832,-6.902605353861995,-6.902605353861993,0.0,-6.461319244657168,-1.3100218672197217,7.106250339952577,1.0
face,271.0,20.0,19.0,1.0,0.0,1.1465809725364768e-06,0.0013621347622782157,0.0003981774161624128,-2.572116746498071e-20,-2.572116894226861e-20,-2.5721168942268627e-20,0.0,-2.419828803255539e-20,-4.8834370285786125e-21,2.6490341049134006e-20,6.673158906497011e-17,3.74155879e-21,-6.8744523094826775,-6.87445270431488,-6.874452704314884,0.0,-6.467434935735806,-1.3051878381893907,7.080028013974894,1.0
face,272.0,20.0,19.0,1.0,0.0,1.129369304736483e-06,0.001307214188237431,0.00039364749002936865,-2.571107567423077e-20,-2.571107712841867e-20,-2.5711077128418674e-20,0.0,-2.4300464825752554e-20,-4.8834370285786125e-21,2.6490341049134006e-20,2.9868599447389684e-17,3.7553652800000004e-21,-6.846491288386936,-6.846491675616352,-6.846491675616352,0.0,-6.470865818345254,-1.300389353490165,7.053998499217632,1.0
face,273.0,20.0,19.0,1.0,0.0,1.1124919185452515e-06,0.0012548328430266303,0.0003891903959608592,-2.570092646567997e-20,-2.5700927897222494e-20,-2.5700927897222512e-20,0.0,-2.4393583711150138e-20,-4.8834370285786125e-21,2.6490341049134006e-20,2.9413817169880055e-17,3.76917177e-21,-6.818719876404033,-6.818720256206974,-6.818720256206979,0.0,-6.471868410271505,-1.2956260225249996,7.028159676876176,1.0
face,274.0,20.0,19.0,1.0,0.0,1.0959411151596322e-06,0.001204859417564931,0.0003848047158663515,-2.5690720195309225e-20,-2.5690721604650447e-20,-2.5690721604650465e-20,0.0,-2.447842143076869e-20,-4.8834370285786125e-21,2.6490341049134006e-20,4.055517107117322e-17,3.7829782600000005e-21,-6.791136091622483,-6.791136464170546,-6.791136464170551,0.0,-6.470674624169976,-1.2908974603989958,7.002509459077357,1.0
face,275.0,20.0,19.0,1.0,0.0,1.079709396124941e-06,0.001157170071637066,0.00038048906279540274,-2.5680457220071232e-20,-2.5680458607645004e-20,-2.5680458607645e-20,0.0,-2.4555683334544706e-20,-4.8834370285786125e-21,2.6490341049134006e-20,4.5649403685402765e-17,3.79678475e-21,-6.763737981214561,-6.763738346674776,-6.763738346674775,0.0,-6.467494196120732,-1.2862032878157268,6.977045788317077,1.0
face,276.0,20.0,19.0,1.0,0.0,1.063789457652542e-06,0.0011116479722491025,0.0003762420802115844,-2.5670137897814686e-20,-2.567013926404485e-20,-2.5670139264044835e-20,0.0,-2.4626010272214564e-20,-4.8834370285786125e-21,2.6490341049134006e-20,4.49636926934109e-17,3.8105912400000005e-21,-6.736523620889519,-6.736523979424476,-6.736523979424471,0.0,-6.462516895990808,-1.2815431309758145,6.95176663691013,1.0
