parameter_set,transfer_plan,edge_nm,direction,orientation,temperature_K,scale_s,beta_nm,K_W_nm6_kcalmol,centre_distance_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_J,U_pair_kBT,U_pair_per_particle_kBT
singh_calibrated_si_mesh,plan1,19.50,100,rot90_about_z,298.15,5.0,7.0375,6.013895e+05,22.500000,-9.806118e+01,7.256187e+02,6.275575e+02,4.360079e-18,1.059196e+03,5.295979e+02
singh_calibrated_si_mesh,plan1,19.50,100,rot90_about_z,300.00,1.0,7.0375,6.013895e+05,22.500000,-1.961224e+01,1.451237e+02,1.255115e+02,8.720157e-19,2.105328e+02,1.052664e+02
singh_calibrated_si_mesh,plan1,19.50,100,rot90_about_z,300.00,2.0,7.0375,6.013895e+05,22.500000,-3.922447e+01,2.902475e+02,2.510230e+02,1.744031e-18,4.210656e+02,2.105328e+02
singh_calibrated_si_mesh,plan1,19.50,100,rot90_about_z,300.00,5.0,7.0375,6.013895e+05,22.500000,-9.806118e+01,7.256187e+02,6.275575e+02,4.360079e-18,1.052664e+03,5.263320e+02
singh_calibrated_si_mesh,plan1,19.50,110,co_oriented,298.15,1.0,7.0375,6.013895e+05,27.568460,-7.036946e+00,4.156983e+01,3.453288e+01,2.399240e-19,5.828483e+01,2.914241e+01
singh_calibrated_si_mesh,plan1,19.50,110,co_oriented,298.15,2.0,7.0375,6.013895e+05,27.568460,-1.407389e+01,8.313966e+01,6.906577e+01,4.798479e-19,1.165697e+02,5.828483e+01
singh_calibrated_si_mesh,plan1,19.50,110,co_oriented,298.15,5.0,7.0375,6.013895e+05,27.568460,-3.518473e+01,2.078492e+02,1.726644e+02,1.199620e-18,2.914241e+02,1.457121e+02
singh_calibrated_si_mesh,plan1,19.50,110,co_oriented,300.00,1.0,7.0375,6.013895e+05,27.568460,-7.036946e+00,4.156983e+01,3.453288e+01,2.399240e-19,5.792541e+01,2.896270e+01
singh_calibrated_si_mesh,plan1,19.50,110,co_oriented,300.00,2.0,7.0375,6.013895e+05,27.568460,-1.407389e+01,8.313966e+01,6.906577e+01,4.798479e-19,1.158508e+02,5.792541e+01
singh_calibrated_si_mesh,plan1,19.50,110,co_oriented,300.00,5.0,7.0375,6.013895e+05,27.568460,-3.518473e+01,2.078492e+02,1.726644e+02,1.199620e-18,2.896270e+02,1.448135e+02
