geometry,temperature_K,tilt_halfangle_deg,face_twist_halfwidth_deg,orientation_fraction_per_particle,conditional_magnetic_F_kBT,geometric_rotation_cost_kBT,magnetic_plus_rotation_F_kBT,Udd_kBT,delta_Uani_kBT,delta_Umag_kBT,total_magnetic_rotational_entropy_change_over_kB,F_scramble_standard_error_kBT,nominal_posture_vdW_kBT,partial_F_with_nominal_vdW_kBT,minimum_importance_ESS_fraction,assembly_delta_G_J,conditional_magnetic_F_J,geometric_rotation_cost_J,magnetic_plus_rotation_F_J,Udd_J,delta_Uani_J,delta_Umag_J,F_scramble_standard_error_J,nominal_posture_vdW_J,partial_F_with_nominal_vdW_J
face,225.0,2.0,1.0,4.0611532060282525e-05,-6.461883764137607,20.22291698158981,13.761033217452205,-8.402217369444301,-0.010761751618504897,-8.412979121062806,-22.174012338515013,0.0001263572781824857,-2.9372041298098117,10.823829087642393,0.12700026602179976,nan,-2.0073585053413854e-20,6.282168774235873e-20,4.2748102688944886e-20,-2.6101154270038288e-20,-3.343095362325863e-23,-2.6134585223661547e-20,3.925238619720841e-25,-9.124307875390021e-21,3.3623794813554866e-20
tip,225.0,2.0,1.0,0.0024366919236169515,-1.163766988959024,12.034227857145611,10.870460868186587,-2.270289183018159,-0.005326282883054038,-2.275615465901213,-13.1460763340878,0.0001331921795964973,-0.11892896578347081,10.751531902403116,0.15596251808668168,nan,-3.6151958914633974e-21,3.738385047766552e-20,3.376865458620212e-20,-7.052563103050886e-21,-1.654588605646277e-23,-7.069108989107349e-21,4.1375621152738e-25,-3.694481047799622e-22,3.339920648142216e-20
face,225.0,2.0,2.0,8.122306412056505e-05,-6.460846067637493,18.83662262046992,12.375776552832427,-8.400582502924047,-0.010701989223952515,-8.411284492147999,-20.787061044980426,0.00011832339531156347,-2.9372041298098117,9.438572423022615,0.12703591705830586,nan,-2.0070361490484683e-20,5.851521941474066e-20,3.844485792425596e-20,-2.6096075622179062e-20,-3.324530412013684e-23,-2.6129320926299198e-20,3.6756692418040826e-25,-9.124307875390021e-21,2.932055004886594e-20
tip,225.0,2.0,2.0,0.0024366919236169515,-1.163766988959024,12.034227857145611,10.870460868186587,-2.270289183018159,-0.005326282883054038,-2.275615465901213,-13.1460763340878,0.0001331921795964973,-0.11892896578347081,10.751531902403116,0.15596251808668168,nan,-3.6151958914633974e-21,3.738385047766552e-20,3.376865458620212e-20,-7.052563103050886e-21,-1.654588605646277e-23,-7.069108989107349e-21,4.1375621152738e-25,-3.694481047799622e-22,3.339920648142216e-20
face,225.0,2.0,5.0,0.00020305766030141262,-6.453699738030158,17.004041156721613,10.550341418691454,-8.389337863831804,-0.010225804484481477,-8.399563668316285,-18.94990508700774,9.811278871523596e-05,-2.9372041298098117,7.613137288881642,0.12728568589863773,nan,-2.0048161701626102e-20,5.2822377942719713e-20,3.2774216241093614e-20,-2.6061144597813414e-20,-3.176605515531345e-23,-2.6092910652968723e-20,3.0478347816052906e-25,-9.124307875390021e-21,2.364990836570359e-20
tip,225.0,2.0,5.0,0.0024366919236169515,-1.163766988959024,12.034227857145611,10.870460868186587,-2.270289183018159,-0.005326282883054038,-2.275615465901213,-13.1460763340878,0.0001331921795964973,-0.11892896578347081,10.751531902403116,0.15596251808668168,nan,-3.6151958914633974e-21,3.738385047766552e-20,3.376865458620212e-20,-7.052563103050886e-21,-1.654588605646277e-23,-7.069108989107349e-21,4.1375621152738e-25,-3.694481047799622e-22,3.339920648142216e-20
face,225.0,2.0,10.0,0.00040611532060282524,-6.429494974334043,15.617746795601722,9.188251821267679,-8.351056885036057,-0.008516519521729847,-8.359573404557787,-17.547825225825466,8.823166173158799e-05,-2.9372041298098117,6.251047691457867,0.12809881425199507,nan,-1.9972970565343477e-20,4.851590961510163e-20,2.8542939049758146e-20,-2.5942226258853333e-20,-2.6456229362602783e-23,-2.596868248821594e-20,2.740881499606243e-25,-9.124307875390021e-21,1.941863117436813e-20
tip,225.0,2.0,10.0,0.0024366919236169515,-1.163766988959024,12.034227857145611,10.870460868186587,-2.270289183018159,-0.005326282883054038,-2.275615465901213,-13.1460763340878,0.0001331921795964973,-0.11892896578347081,10.751531902403116,0.15596251808668168,nan,-3.6151958914633974e-21,3.738385047766552e-20,3.376865458620212e-20,-7.052563103050886e-21,-1.654588605646277e-23,-7.069108989107349e-21,4.1375621152738e-25,-3.694481047799622e-22,3.339920648142216e-20
face,230.0,2.0,1.0,4.0611532060282525e-05,-6.278881969907582,20.22291698158981,13.94403501168223,-8.20657728467841,-0.01084950716883936,-8.217426791847249,-22.161461803529477,0.0002841656893693103,-2.8733518661182944,11.070683145563935,0.12794162232960943,nan,-1.9938543859603147e-20,6.421772524774449e-20,4.4279181388141335e-20,-2.6059926259482116e-20,-3.445253081324706e-23,-2.6094378790295358e-20,9.023660721827127e-25,-9.124307875390023e-21,3.5154873512751315e-20
tip,230.0,2.0,1.0,0.0024366919236169515,-1.1147548472406277,12.034227857145611,10.919473009904983,-2.177765128993485,-0.005919045249951665,-2.183684174243437,-13.10315718414842,0.0001307426663209553,-0.11634355348383013,10.803129456421154,0.16473556759831515,nan,-3.5398958797022286e-21,3.8214602710502533e-20,3.4674706830800307e-20,-6.915477269433372e-21,-1.879588498219119e-23,-6.934273154415562e-21,4.151723824807294e-25,-3.694481047799622e-22,3.430525872602034e-20
face,230.0,2.0,2.0,8.122306412056505e-05,-6.277893335928113,18.83662262046992,12.558729284541808,-8.204975527876528,-0.010748040942113877,-8.21572356881864,-20.77445285336045,0.0002858425226231795,-2.8733518661182944,9.685377418423514,0.12798310867306412,nan,-1.993540445961837e-20,5.98155576239571e-20,3.988015316433874e-20,-2.605483989245056e-20,-3.413032555098374e-23,-2.608897021800154e-20,9.076908439394914e-25,-9.124307875390023e-21,3.0755845288948716e-20
tip,230.0,2.0,2.0,0.0024366919236169515,-1.1147548472406277,12.034227857145611,10.919473009904983,-2.177765128993485,-0.005919045249951665,-2.183684174243437,-13.10315718414842,0.0001307426663209553,-0.11634355348383013,10.803129456421154,0.16473556759831515,nan,-3.5398958797022286e-21,3.8214602710502533e-20,3.4674706830800307e-20,-6.915477269433372e-21,-1.879588498219119e-23,-6.934273154415562e-21,4.151723824807294e-25,-3.694481047799622e-22,3.430525872602034e-20
face,230.0,2.0,5.0,0.00020305766030141262,-6.2710372323133745,17.004041156721613,10.733003924408237,-8.193924447174368,-0.010154877610718954,-8.204079324785086,-18.93708324919332,0.00029651217899845643,-2.8733518661182944,7.859652058289942,0.12826065233907832,nan,-1.9913632952639326e-20,5.399620856366904e-20,3.4082575611029713e-20,-2.601974726635374e-20,-3.224673972223148e-23,-2.605199400607597e-20,9.415722598706917e-25,-9.124307875390023e-21,2.495826773563969e-20
