assembly,temperature_K,volume_fraction,escape_length_nm,p_free,p_bound,kBT_J,p_face,p_tip,U_total_per_NC_J,U_total_per_NC_kBT
dimer,320.0,0.0001,0.5,0.9985147390184638,0.0014852609815361685,4.4180768e-21,0.0014633584308786998,2.190255065746867e-05,-2.2044003255122393e-23,-0.00498950205101061
dimer,322.0,0.0001,0.5,0.9985753207644819,0.001424679235518091,4.44568978e-21,0.0014029362957370852,2.1742939781005877e-05,-2.1117901191356388e-23,-0.0047501967605477835
dimer,324.0,0.0001,0.5,0.9986326598676606,0.0013673401323393145,4.47330276e-21,0.0013457528582324193,2.1587274106895122e-05,-2.0241801402190687e-23,-0.004525023788506255
dimer,326.0,0.0001,0.5,0.9986869633807978,0.0013130366192020814,4.50091574e-21,0.0012916011971796427,2.1435422022438857e-05,-1.941249521312507e-23,-0.004313010137160459
dimer,328.0,0.0001,0.5,0.9987384232031993,0.0012615767968006911,4.5285287200000004e-21,0.0012402895394715088,2.1287257329182415e-05,-1.862700952368766e-23,-0.004113258560428796
dimer,330.0,0.0001,0.5,0.9987872173207581,0.001212782679241958,4.5561417000000004e-21,0.0011916400202565606,2.114265898539729e-05,-1.7882587487634858e-23,-0.003924941027983141
dimer,332.0,0.0001,0.5,0.9988335109344977,0.0011664890655022507,4.5837546800000004e-21,0.0011454875546403412,2.100151086190966e-05,-1.717667093354951e-23,-0.0037472928052837045
dimer,334.0,0.0001,0.5,0.9988774574884633,0.0011225425115365332,4.6113676600000005e-21,0.001101678810025954,2.08637015105793e-05,-1.6506884355795388e-23,-0.003579607086847503
dimer,336.0,0.0001,0.5,0.9989191996067045,0.00108080039329553,4.6389806400000005e-21,0.0010600712693507662,2.0729123944763647e-05,-1.5871020323623852e-23,-0.003421230126889223
dimer,338.0,0.0001,0.5,0.9989588699480794,0.0010411300519206858,4.6665936200000005e-21,0.0010205323764895542,2.059767543113153e-05,-1.526702617207477e-23,-0.003271556817513235
dimer,340.0,0.0001,0.5,0.9989965919867123,0.0010034080132876283,4.6942066000000005e-21,0.0009829387559954074,2.0469257292220952e-05,-1.4692991852400872e-23,-0.0031300266699810083
dimer,342.0,0.0001,0.5,0.9990324807251291,0.0009675192748709419,4.7218195800000006e-21,0.0009471755001517776,2.0343774719164242e-05,-1.4147138832282874e-23,-0.002996120159314277
dimer,344.0,0.0001,0.5,0.9990666433463825,0.00093335665361743,4.7494325600000006e-21,0.0009131355170233972,2.0221136594032826e-05,-1.3627809947269426e-23,-0.0028693553966938367
dimer,346.0,0.0001,0.5,0.9990991798108481,0.000900820189151997,4.777045540000001e-21,0.0008807189338307155,2.0101255321281464e-05,-1.3133460114830411e-23,-0.0027492850978411247
dimer,348.0,0.0001,0.5,0.9991301834027912,0.0008698165972087186,4.804658520000001e-21,0.0008498325505409199,1.998404666779868e-05,-1.2662647831295515e-23,-0.0026354938188813287
dimer,350.0,0.0001,0.5,0.9991597412313129,0.0008402587686871807,4.832271500000001e-21,0.0008203893390760841,1.9869429611096568e-05,-1.2214027379881351e-23,-0.002527595434130998
dimer,352.0,0.0001,0.5,0.9991879346898119,0.0008120653101880437,4.85988448e-21,0.0007923079839928464,1.975732619519733e-05,-1.1786341685100606e-23,-0.0024252308328737487
dimer,354.0,0.0001,0.5,0.9992148398777123,0.0007851601222876507,4.88749746e-21,0.0007655124608938523,1.964766139379849e-05,-1.1378415755188916e-23,-0.0023280658145219614
dimer,356.0,0.0001,0.5,0.9992405279878249,0.0007594720121750165,4.91511044e-21,0.0007399316491946954,1.954036298032115e-05,-1.0989150659863024e-23,-0.002235789163643498
dimer,358.0,0.0001,0.5,0.9992650656623998,0.000734934337600247,4.94272342e-21,0.0007154989761957794,1.9435361404467503e-05,-1.0617517995811654e-23,-0.002148110888189583
dimer,360.0,0.0001,0.5,0.9992885153206243,0.0007114846793755676,4.9703364e-21,0.000692152089700633,1.933258967493455e-05,-1.0262554796883388e-23,-0.002064760605918623
dimer,362.0,0.0001,0.5,0.9993109354600677,0.0006890645399323888,4.99794938e-21,0.0006698325566844381,1.923198324795062e-05,-9.923358850030817e-24,-0.0019854860654932877
dimer,364.0,0.0001,0.5,0.9993323809343266,0.0006676190656733415,5.02556236e-21,0.0006484855857520215,1.913347992131988e-05,-9.599084381748305e-24,-0.0019100517900544577
dimer,366.0,0.0001,0.5,0.99935290320893,0.0006470967910700404,5.05317534e-21,0.0006280597713363627,1.9037019733677787e-05,-9.288938083047683e-24,-0.0018382378322632444
dimer,368.0,0.0001,0.5,0.9993725505973521,0.0006274494026478568,5.08078832e-21,0.0006085068577791798,1.8942544868676984e-05,-8.992175443990791e-24,-0.0017698386308663988
