assembly,channel,dipole_manifold,temperature_K,twist_halfwidth_deg,volume_fraction,twist_registry_weight,twist_free_energy_cost_kBT,orbit_count,alpha,p_pair,p_free,kBT_J,vdW_pair_J,U_bound_conditional_per_NC_J,U_total_per_NC_J,vdW_pair_kBT,U_bound_conditional_per_NC_kBT,U_total_per_NC_kBT
dimer,face,free,254.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0003253665599900643,0.99967463344001,3.50684846e-21,-4.8834370285786125e-21,-1.5383521696695765e-20,-5.005283534986418e-24,-1.3925429297217513,-4.386708428426292,-0.0014272882310364839
dimer,face,free,255.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00031436757568864375,0.9996856324243114,3.5206549500000006e-21,-4.8834370285786125e-21,-1.537899039733918e-20,-4.83465592775045e-24,-1.3870819770561758,-4.368218588799557,-0.0013732262878389855
dimer,face,free,256.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00030382498027504745,0.999696175019725,3.53446144e-21,-4.8834370285786125e-21,-1.5374427478724464e-20,-4.6711351254636076e-24,-1.3816636880833002,-4.349864255054502,-0.001321597421491068
dimer,face,free,257.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00029371675540131156,0.9997062832445986,3.54826793e-21,-4.8834370285786125e-21,-1.5369833103953877e-20,-4.514377510353002e-24,-1.3762875647833654,-4.331643891377131,-0.0012722763893292023
dimer,face,free,258.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0002840220821698497,0.9997159779178302,3.56207442e-21,-4.8834370285786125e-21,-1.5365207437391384e-20,-4.364058209339561e-24,-1.3709531168578484,-4.3135559861187245,-0.0012251451527336592
dimer,face,free,259.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00027472126875909583,0.999725278731241,3.57588091e-21,-4.8834370285786125e-21,-1.5360550644609862e-20,-4.219869961925569e-24,-1.365659861580405,-4.295599051314564,-0.0011800924214575056
dimer,face,free,260.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0002657956828199693,0.9997342043171801,3.5896874e-21,-4.8834370285786125e-21,-1.535586289233916e-20,-4.0815220627591156e-24,-1.3604073236512495,-4.277771622214001,-0.001137013229274258
dimer,face,free,261.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0002572276883032274,0.9997427723116967,3.60349389e-21,-4.8834370285786125e-21,-1.5351144348415117e-20,-3.948739373551975e-24,-1.3551950350548847,-4.260072256821592,-0.001095808538626931
dimer,face,free,262.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0002490005864036746,0.9997509994135964,3.61730038e-21,-4.8834370285786125e-21,-1.5346395181729493e-20,-3.821261399433171e-24,-1.3500225349210873,-4.242499535449,-0.0010563848721441183
dimer,face,free,263.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00024109856033111766,0.9997589014396688,3.63110687e-21,-4.8834370285786125e-21,-1.5341615562180887e-20,-3.698841425195282e-24,-1.344889369389068,-4.225052060277391,-0.0010186539690569016
dimer,face,free,264.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0002335066236398356,0.9997664933763601,3.64491336e-21,-4.8834370285786125e-21,-1.533680566062643e-20,-3.581245707233196e-24,-1.3397950914747154,-4.207728454929977,-0.000982532464703961
dimer,face,free,265.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00022621057186852854,0.9997737894281314,3.65871985e-21,-4.8834370285786125e-21,-1.5331965648834467e-20,-3.46825271729148e-24,-1.3347392609408486,-4.190527364054525,-0.0009479415914534915
dimer,face,free,266.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00021919693726122884,0.9997808030627388,3.67252634e-21,-4.8834370285786125e-21,-1.5327095699438184e-20,-3.3596524344266016e-24,-1.3297214441703942,-4.173447452915527,-0.0009148068994997599
dimer,face,free,267.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00021245294635676646,0.9997875470536433,3.68633283e-21,-4.8834370285786125e-21,-1.5322195985889958e-20,-3.2552456818581415e-24,-1.3247412140424153,-4.156487406995737,-0.0008830579961110407
dimer,face,free,268.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0002059664802500495,0.9997940335197499,3.7001393200000004e-21,-4.8834370285786125e-21,-1.5317266682416798e-20,-3.1548435056287405e-24,-1.3197981498109137,-4.13964593160692,-0.0008526283020145144
dimer,face,free,269.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00019972603734294856,0.999800273962657,3.71394581e-21,-4.8834370285786125e-21,-1.5312307963976578e-20,-3.0582665922199148e-24,-1.3148918369863378,-4.1229217515095025,-0.0008234548237040418
dimer,face,free,270.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00019372069841588048,0.9998062793015842,3.7277523000000004e-21,-4.8834370285786125e-21,-1.5307320006214986e-20,-2.965344722479347e-24,-1.3100218672197217,-4.106313610540857,-0.0007954779405486107
dimer,face,free,271.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0001879400938635065,0.9998120599061365,3.74155879e-21,-4.8834370285786125e-21,-1.5302302985423604e-20,-2.875916259408328e-24,-1.3051878381893907,-4.089820271252133,-0.0007686412056639976
dimer,face,free,272.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0001823743729492932,0.9998176256270507,3.7553652800000004e-21,-4.8834370285786125e-21,-1.5297257078498645e-20,-2.7898276675353275e-24,-1.300389353490165,-4.073440514553259,-0.0007428911595878969
dimer,face,free,273.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00017701417494417576,0.9998229858250558,3.76917177e-21,-4.8834370285786125e-21,-1.529218246290055e-20,-2.7069330617661344e-24,-1.2956260225249996,-4.057173139365986,-0.0007181771558705414
dimer,face,free,274.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00017185060202419366,0.9998281493979758,3.7829782600000005e-21,-4.8834370285786125e-21,-1.5287079316614538e-20,-2.6270937837518075e-24,-1.2908974603989958,-4.041016962284773,-0.0006944511977586166
