assembly,temperature_K,state_index,contact,spin1_index,spin2_index,energy_per_NC_J,p_equilibrium,p_window_mean
superlattice,280.0,28,free,3,4,0.0,3.814036138800346e-09,9.320896945657597e-09
superlattice,280.0,29,free,3,5,0.0,3.814036138800346e-09,9.382586974084131e-09
superlattice,280.0,30,free,3,6,0.0,3.814036138800346e-09,9.38258697408402e-09
superlattice,280.0,31,free,3,7,0.0,3.814036138800346e-09,9.508102229907055e-09
superlattice,280.0,32,free,4,0,0.0,3.814036138800346e-09,9.50810222948436e-09
superlattice,280.0,33,free,4,1,0.0,3.814036138800346e-09,9.38258697385722e-09
superlattice,280.0,34,free,4,2,0.0,3.814036138800346e-09,9.382586973857127e-09
superlattice,280.0,35,free,4,3,0.0,3.814036138800346e-09,9.320896945641081e-09
superlattice,280.0,36,free,4,4,0.0,3.814036138800346e-09,9.011999588017766e-09
superlattice,280.0,37,free,4,5,0.0,3.814036138800346e-09,8.541914588262693e-09
superlattice,280.0,38,free,4,6,0.0,3.814036138800346e-09,8.541914588262339e-09
superlattice,280.0,39,free,4,7,0.0,3.814036138800346e-09,8.420180403480242e-09
superlattice,280.0,40,free,5,0,0.0,3.814036138800346e-09,9.391465061867873e-09
superlattice,280.0,41,free,5,1,0.0,3.814036138800346e-09,9.526024863304394e-09
superlattice,280.0,42,free,5,2,0.0,3.814036138800346e-09,9.328969790792837e-09
superlattice,280.0,43,free,5,3,0.0,3.814036138800346e-09,9.382586974076094e-09
superlattice,280.0,44,free,5,4,0.0,3.814036138800346e-09,8.541914588263342e-09
superlattice,280.0,45,free,5,5,0.0,3.814036138800346e-09,9.020364971820744e-09
superlattice,280.0,46,free,5,6,0.0,3.814036138800346e-09,8.435513302106505e-09
superlattice,280.0,47,free,5,7,0.0,3.814036138800346e-09,8.549649277067845e-09
superlattice,280.0,48,free,6,0,0.0,3.814036138800346e-09,9.391465061868117e-09
superlattice,280.0,49,free,6,1,0.0,3.814036138800346e-09,9.328969790793174e-09
superlattice,280.0,50,free,6,2,0.0,3.814036138800346e-09,9.526024863304518e-09
superlattice,280.0,51,free,6,3,0.0,3.814036138800346e-09,9.382586974076318e-09
superlattice,280.0,52,free,6,4,0.0,3.814036138800346e-09,8.541914588263843e-09
superlattice,280.0,53,free,6,5,0.0,3.814036138800346e-09,8.435513302107349e-09
superlattice,280.0,54,free,6,6,0.0,3.814036138800346e-09,9.020364971820881e-09
superlattice,280.0,55,free,6,7,0.0,3.814036138800346e-09,8.549649277068336e-09
superlattice,280.0,56,free,7,0,0.0,3.814036138800346e-09,9.326822437521867e-09
superlattice,280.0,57,free,7,1,0.0,3.814036138800346e-09,9.391465061939872e-09
superlattice,280.0,58,free,7,2,0.0,3.814036138800346e-09,9.391465061939763e-09
superlattice,280.0,59,free,7,3,0.0,3.814036138800346e-09,9.508102229907618e-09
superlattice,280.0,60,free,7,4,0.0,3.814036138800346e-09,8.420180403482447e-09
superlattice,280.0,61,free,7,5,0.0,3.814036138800346e-09,8.549649277069375e-09
superlattice,280.0,62,free,7,6,0.0,3.814036138800346e-09,8.549649277069028e-09
superlattice,280.0,63,free,7,7,0.0,3.814036138800346e-09,9.017024074740589e-09
superlattice,280.0,64,face,0,0,-1.465031108573584e-20,1.475462017356689e-10,3.175778483916265e-10
superlattice,280.0,65,face,0,1,-5.438582265943684e-20,4.294410649915327e-06,4.296556982613838e-06
superlattice,280.0,66,face,0,2,-5.438582265943684e-20,4.294410649915327e-06,4.296556982613941e-06
superlattice,280.0,67,face,0,3,-9.412133423313784e-20,0.1249911052481393,0.1249906355810567
superlattice,280.0,68,face,0,4,6.482071206166617e-20,1.7417144686738923e-19,4.341732293091023e-19
superlattice,280.0,69,face,0,5,2.5085200487965158e-20,5.069352565771003e-15,1.2482222972984384e-14
superlattice,280.0,70,face,0,6,2.5085200487965158e-20,5.069352565771003e-15,1.2482222972984278e-14
superlattice,280.0,71,face,0,7,-1.465031108573584e-20,1.475462017356689e-10,3.602290697676099e-10
superlattice,280.0,72,face,1,0,-5.438582265943684e-20,4.294410649915327e-06,4.296556982801393e-06
superlattice,280.0,73,face,1,1,-1.465031108573584e-20,1.475462017356689e-10,3.176870113818964e-10
superlattice,280.0,74,face,1,2,-9.412133423313784e-20,0.1249911052481393,0.1249907294741425
superlattice,280.0,75,face,1,3,-5.438582265943684e-20,4.294410649915327e-06,4.296553648462798e-06
superlattice,280.0,76,face,1,4,2.5085200487965158e-20,5.069352565771003e-15,1.2470439229031248e-14
superlattice,280.0,77,face,1,5,6.482071206166617e-20,1.7417144686738923e-19,4.349882957045811e-19
superlattice,280.0,78,face,1,6,-1.465031108573584e-20,1.475462017356689e-10,3.6031191318348917e-10
superlattice,280.0,79,face,1,7,2.5085200487965158e-20,5.069352565771003e-15,1.2482222973079498e-14
superlattice,280.0,80,face,2,0,-5.438582265943684e-20,4.294410649915327e-06,4.29655698280129e-06
superlattice,280.0,81,face,2,1,-9.412133423313784e-20,0.1249911052481393,0.12499072947413666
superlattice,280.0,82,face,2,2,-1.465031108573584e-20,1.475462017356689e-10,3.1768701138190167e-10
superlattice,280.0,83,face,2,3,-5.438582265943684e-20,4.294410649915327e-06,4.296553648462698e-06
superlattice,280.0,84,face,2,4,2.5085200487965158e-20,5.069352565771003e-15,1.2470439229031529e-14
superlattice,280.0,85,face,2,5,-1.465031108573584e-20,1.475462017356689e-10,3.6031191318349976e-10
superlattice,280.0,86,face,2,6,6.482071206166617e-20,1.7417144686738923e-19,4.349882957045861e-19
superlattice,280.0,87,face,2,7,2.5085200487965158e-20,5.069352565771003e-15,1.2482222973079822e-14
superlattice,280.0,88,face,3,0,-9.412133423313784e-20,0.1249911052481393,0.12499063559197181
superlattice,280.0,89,face,3,1,-5.438582265943684e-20,4.294410649915327e-06,4.2965536486501495e-06
