assembly,temperature_K,regime,pair_lifetime_deepest_s,pair_survival_deepest,pair_lifetime_neel_blocked_s,pair_lifetime_rotation_blocked_s,pair_lifetime_direct_escape_s,p_bound_eq,contact_barrier_kBT
dimer,275.0,Neel crossover,8.70030975227822e-06,0.0,8.700315643465958e-06,8.700498261529656e-06,8.700504153104541e-06,0.31193090106628757,10.0
dimer,280.0,Neel crossover,6.97403193650491e-06,0.0,6.97403770893927e-06,6.974170411855839e-06,6.974176184638242e-06,0.28211280918785386,10.0
dimer,285.0,Neel crossover,5.628461205632678e-06,0.0,5.6284668547757515e-06,5.628563922895409e-06,5.628569572351922e-06,0.255105752835749,10.0
dimer,290.0,Neel crossover,4.572097534479053e-06,0.0,4.572103056945355e-06,4.5721744373497886e-06,4.572179960098866e-06,0.23075501715686242,10.0
dimer,295.0,Neel crossover,3.737086296607257e-06,0.0,3.7370916900239243e-06,3.737144383694989e-06,3.7371497773672004e-06,0.2088744877944496,10.0
dimer,300.0,fast Neel and Brownian,3.072712948386775e-06,0.0,3.072718211265577e-06,3.0727571946073916e-06,3.072762457717523e-06,0.18926247740014465,10.0
superlattice,200.0,"Neel blocked, Brownian only",1560283.320069544,0.9999869883681404,1560693.4029613426,1983254.7901977855,5393214.466226133,0.999999999985609,0.0
superlattice,205.0,"Neel blocked, Brownian only",618581.4988328206,0.9999676688074413,618764.749700223,786598.9917634508,2118514.014688805,0.9999999999669543,0.0
superlattice,210.0,"Neel blocked, Brownian only",255547.8401758013,0.9999218886653076,255632.44160936374,325463.094238227,867615.574535232,0.9999999999270559,0.0
superlattice,215.0,"Neel blocked, Brownian only",109705.93848344375,0.9998178382852788,109746.20800330254,140096.5166870743,369439.4930871587,0.9999999998448097,0.0
superlattice,220.0,"Neel blocked, Brownian only",48818.028246715156,0.9995903076107795,48837.75397579846,62579.80900218226,163150.81020383912,0.9999999996809696,0.0
superlattice,225.0,"Neel blocked, Brownian only",22466.147509650502,0.9991100193193847,22476.07430836947,28941.17742075225,74553.25956837706,0.9999999993648349,0.0
superlattice,230.0,"Neel blocked, Brownian only",10670.068310231258,0.998127666811411,10675.192555027763,13827.616829203214,35177.03817339313,0.9999999987727283,0.0
superlattice,235.0,"Neel blocked, Brownian only",5219.926978449816,0.9961757876240135,5222.636395930337,6811.989434251592,17105.068069187622,0.9999999976942002,0.0
superlattice,240.0,"Neel blocked, Brownian only",2625.771697633182,0.9924123884544296,2627.237170459448,3453.881558487002,8556.330384183417,0.9999999957802161,0.0
superlattice,245.0,Neel crossover,1355.9465621560537,0.9853583325764239,1356.7564223807624,1799.3592722103795,4395.739677084533,0.9999999924656496,0.0
superlattice,250.0,Neel crossover,717.7511009802522,0.9725203512165008,718.2078597756747,961.6757593477031,2315.778439049493,0.9999999868559005,0.0
superlattice,255.0,Neel crossover,388.9133117073397,0.9498742005714457,389.1759499076187,526.5159396928967,1249.3122411556824,0.9999999775644132,0.0
