geometry,temperature_K,old_rotation_cost_kBT,new_rotation_cost_kBT,free_energy_change_kBT,Udd_kBT,new_Fmag_plus_rotation_kBT
tip,253.0,12.034227857145611,-0.0,-12.034227857145611,-0.36227654743929805,-0.3153886861741241
tip,254.0,12.034227857145611,-0.0,-12.034227857145611,-0.38960598054246054,-0.3353016446491871
tip,255.0,12.034227857145611,-0.0,-12.034227857145611,-0.4181443915764525,-0.3555130882726889
tip,256.0,12.034227857145611,-0.0,-12.034227857145611,-0.44783038643071565,-0.3759055705729277
tip,257.0,12.034227857145611,-0.0,-12.034227857145611,-0.47858492680423514,-0.39635235660847823
tip,258.0,12.034227857145611,-0.0,-12.034227857145611,-0.5103108507464276,-0.4167197046871375
tip,259.0,12.034227857145611,-0.0,-12.034227857145611,-0.5428928406231981,-0.4368696649418037
tip,260.0,12.034227857145611,-0.0,-12.034227857145611,-0.5761979162688087,-0.4566633252829786
tip,261.0,12.034227857145611,-0.0,-12.034227857145611,-0.6100765176744287,-0.47596438918898637
tip,262.0,12.034227857145611,-0.0,-12.034227857145611,-0.6443642200897015,-0.4946429232795969
tip,263.0,12.034227857145611,-0.0,-12.034227857145611,-0.6788840946204446,-0.5125790712068456
tip,264.0,12.034227857145611,-0.0,-12.034227857145611,-0.7134496899413101,-0.5296665009262611
tip,265.0,12.034227857145611,-0.0,-12.034227857145611,-0.7478685673878489,-0.5458153422447372
tip,266.0,12.034227857145611,-0.0,-12.034227857145611,-0.7819462754906846,-0.5609543872829084
tip,267.0,12.034227857145611,-0.0,-12.034227857145611,-0.8154906052248088,-0.5750323722317165
tip,268.0,12.034227857145611,-0.0,-12.034227857145611,-0.8483159290644428,-0.5880182341536648
tip,269.0,12.034227857145611,-0.0,-12.034227857145611,-0.880247400938175,-0.5999003351687062
tip,270.0,12.034227857145611,-0.0,-12.034227857145611,-0.9111247855367979,-0.6106847552939645
tip,271.0,12.034227857145611,-0.0,-12.034227857145611,-0.9408056979278718,-0.6203928565285723
tip,272.0,12.034227857145611,-0.0,-12.034227857145611,-0.9691680695363478,-0.6290583949188214
tip,273.0,12.034227857145611,-0.0,-12.034227857145611,-0.9961117126471661,-0.6367244880919839
tip,274.0,12.034227857145611,-0.0,-12.034227857145611,-1.0215589277024495,-0.6434407256049437
tip,275.0,12.034227857145611,-0.0,-12.034227857145611,-1.045454177805507,-0.6492606434620445
tip,276.0,12.034227857145611,-0.0,-12.034227857145611,-1.067762932998213,-0.6542396898249427
tip,277.0,12.034227857145611,-0.0,-12.034227857145611,-1.0884698526071062,-0.6584337107417229
tip,278.0,12.034227857145611,-0.0,-12.034227857145611,-1.10757651824447,-0.6618979051261646
tip,279.0,12.034227857145611,-0.0,-12.034227857145611,-1.1250989470549606,-0.6646861502386254
tip,280.0,12.034227857145611,-0.0,-12.034227857145611,-1.141065103026591,-0.6668505840896779
tip,281.0,12.034227857145611,-0.0,-12.034227857145611,-1.1555125868456995,-0.6684413424476116
tip,282.0,12.034227857145611,-0.0,-12.034227857145611,-1.1684866291555482,-0.6695063745638637
tip,283.0,12.034227857145611,-0.0,-12.034227857145611,-1.1800384480914898,-0.6700912926009724
tip,284.0,12.034227857145611,-0.0,-12.034227857145611,-1.1902239702131046,-0.6702392369515707
tip,285.0,12.034227857145611,-0.0,-12.034227857145611,-1.1991028637347214,-0.6699907586360853
tip,286.0,12.034227857145611,-0.0,-12.034227857145611,-1.206737800660481,-0.6693837295882484
tip,287.0,12.034227857145611,-0.0,-12.034227857145611,-1.213193852626373,-0.668453293185414
tip,288.0,12.034227857145611,-0.0,-12.034227857145611,-1.2185379326041494,-0.6672318634977641
tip,289.0,12.034227857145611,-0.0,-12.034227857145611,-1.2228382165861644,-0.6657491753533092
tip,290.0,12.034227857145611,-0.0,-12.034227857145611,-1.2261635094507466,-0.6640323809256228
tip,291.0,12.034227857145611,-0.0,-12.034227857145611,-1.2285825504559393,-0.6621061837804254
tip,292.0,12.034227857145611,-0.0,-12.034227857145611,-1.2301632802195734,-0.6599929988698803
tip,293.0,12.034227857145611,-0.0,-12.034227857145611,-1.2309721085556786,-0.6577131267676228
