geometry,temperature_K,exposure_s,state_index,p_previous_hold_end,p_hold_start,p_hold_mean,p_hold_end,p_eq
face,300.0,20.0,39,0.015625,0.015625,0.11415368292020377,0.11518829091377361,0.11518829091377628
face,300.0,20.0,40,0.015625,0.015625,7.642057800939545e-05,7.852919879201865e-06,7.852919879201732e-06
face,300.0,20.0,41,0.015625,0.015625,0.0001132895815880335,3.2080326312352053e-07,3.2080326312354393e-07
face,300.0,20.0,42,0.015625,0.015625,0.0002334169104937059,0.00019223105784124239,0.00019223105784124347
face,300.0,20.0,43,0.015625,0.015625,7.642057800939502e-05,7.852919879201693e-06,7.852919879201732e-06
face,300.0,20.0,44,0.015625,0.015625,0.004964856548517624,0.004705610163759724,0.004705610163759857
face,300.0,20.0,45,0.015625,0.015625,0.0004170563346585963,0.0001922310578412382,0.00019223105784124347
face,300.0,20.0,46,0.015625,0.015625,0.11415368292020318,0.1151882909137728,0.11518829091377628
face,300.0,20.0,47,0.015625,0.015625,0.004964856548517663,0.004705610163759737,0.004705610163759857
face,300.0,20.0,48,0.015625,0.015625,7.642057800939544e-05,7.852919879201886e-06,7.852919879201732e-06
face,300.0,20.0,49,0.015625,0.015625,0.00023341691049370565,0.00019223105784124336,0.00019223105784124347
face,300.0,20.0,50,0.015625,0.015625,0.00011328958158803353,3.208032631235193e-07,3.2080326312354393e-07
face,300.0,20.0,51,0.015625,0.015625,7.642057800939503e-05,7.852919879201708e-06,7.852919879201732e-06
face,300.0,20.0,52,0.015625,0.015625,0.004964856548517623,0.0047056101637597365,0.004705610163759857
face,300.0,20.0,53,0.015625,0.015625,0.1141536829202034,0.11518829091377343,0.11518829091377628
face,300.0,20.0,54,0.015625,0.015625,0.00041705633465859615,0.00019223105784123816,0.00019223105784124347
face,300.0,20.0,55,0.015625,0.015625,0.004964856548517662,0.00470561016375975,0.004705610163759857
face,300.0,20.0,56,0.015625,0.015625,0.00023341691049370616,0.00019223105784124268,0.00019223105784124347
face,300.0,20.0,57,0.015625,0.015625,7.642057800939503e-05,7.852919879201706e-06,7.852919879201732e-06
face,300.0,20.0,58,0.015625,0.015625,7.642057800939502e-05,7.852919879201679e-06,7.852919879201732e-06
face,300.0,20.0,59,0.015625,0.015625,0.00011328958158803509,3.20803263123569e-07,3.2080326312354393e-07
face,300.0,20.0,60,0.015625,0.015625,0.11415368292020335,0.11518829091377304,0.11518829091377628
face,300.0,20.0,61,0.015625,0.015625,0.004964856548517657,0.004705610163759738,0.004705610163759857
face,300.0,20.0,62,0.015625,0.015625,0.004964856548517647,0.004705610163759725,0.004705610163759857
face,300.0,20.0,63,0.015625,0.015625,0.0004170563346586332,0.00019223105784123886,0.00019223105784124347
face,290.0,20.0,0,0.00019223105784124865,0.00015593647152924137,0.00015551792369378236,0.00015550866751144025,0.00015550866751144356
face,290.0,20.0,1,0.004705610163759977,0.004256082472614617,0.004250541744081349,0.004250464391319314,0.004250464391319417
face,290.0,20.0,2,0.004705610163760005,0.004256082472614587,0.004250541744081342,0.0042504643913193075,0.004250464391319417
face,290.0,20.0,3,0.1151882909137794,0.1161643264332648,0.11617630072594595,0.11617646675896283,0.11617646675896616
face,290.0,20.0,4,3.2080326312347357e-07,2.0932627599557306e-07,2.0818508363441258e-07,2.0815700757487253e-07,2.0815700757501586e-07
face,290.0,20.0,5,7.85291987920159e-06,5.713266595780503e-06,5.689756779129233e-06,5.689483182254406e-06,5.689483182254797e-06
face,290.0,20.0,6,7.85291987920208e-06,5.7132665957804545e-06,5.689756779129677e-06,5.689483182254852e-06,5.689483182254797e-06
face,290.0,20.0,7,0.00019223105784124632,0.00015593629051153247,0.00015551016355459465,0.00015550866751144892,0.00015550866751144356
face,290.0,20.0,8,0.0047056101637599655,0.0042560824726145885,0.004250541744081358,0.004250464391319336,0.004250464391319417
face,290.0,20.0,9,0.00019223105784125,0.00015593647152923907,0.00015551792369378146,0.00015550866751143935,0.00015550866751144356
face,290.0,20.0,10,0.11518829091377919,0.11616432643326394,0.11617630072594652,0.11617646675896388,0.11617646675896616
face,290.0,20.0,11,0.004705610163759975,0.004256082472614604,0.004250541744081345,0.004250464391319311,0.004250464391319417
face,290.0,20.0,12,7.852919879201847e-06,5.713266595780364e-06,5.689756779129712e-06,5.689483182254899e-06,5.689483182254797e-06
face,290.0,20.0,13,3.2080326312352254e-07,2.0932627599545747e-07,2.0818508363453948e-07,2.0815700757500207e-07,2.0815700757501586e-07
face,290.0,20.0,14,0.00019223105784124244,0.00015593629051153225,0.0001555101635545879,0.00015550866751144242,0.00015550866751144356
face,290.0,20.0,15,7.852919879201694e-06,5.71326659578042e-06,5.6897567791296225e-06,5.6894831822548e-06,5.689483182254797e-06
face,290.0,20.0,16,0.00470561016375998,0.0042560824726145955,0.004250541744081357,0.004250464391319334,0.004250464391319417
face,290.0,20.0,17,0.1151882909137796,0.11616432643326408,0.11617630072594648,0.11617646675896373,0.11617646675896616
face,290.0,20.0,18,0.00019223105784125038,0.00015593647152923977,0.00015551792369378133,0.00015550866751143922,0.00015550866751144356
face,290.0,20.0,19,0.0047056101637599854,0.004256082472614605,0.004250541744081346,0.004250464391319312,0.004250464391319417
face,290.0,20.0,20,7.852919879201865e-06,5.71326659578038e-06,5.689756779129714e-06,5.689483182254899e-06,5.689483182254797e-06
