geometry,exposure_s,time_s,temperature_K,stage,Udd_J,Udd_kBT
face,150.0,1350.0001,250.0,hold,-2.591497379624112e-20,-7.508055645204862
face,150.0,1350.0001808577551,250.0,hold,-2.5914973855305262e-20,-7.508055662316855
face,150.0,1350.0003270952757,250.0,hold,-2.5914973962124923e-20,-7.508055693264522
face,150.0,1350.0005915771726,250.0,hold,-2.5914974155308648e-20,-7.508055749233483
face,150.0,1350.001069913194,250.0,hold,-2.5914974504670517e-20,-7.508055850450192
face,150.0,1350.0019350209839,250.0,hold,-2.59149751364339e-20,-7.508056033483934
face,150.0,1350.0034996355116,250.0,hold,-2.5914976278750193e-20,-7.508056364434463
face,150.0,1350.006329362222,250.0,hold,-2.591497834381288e-20,-7.508056962721989
face,150.0,1350.0114471424256,250.0,hold,-2.5914982075681663e-20,-7.508058043914612
face,150.0,1350.0207030448112,250.0,hold,-2.5914988815398717e-20,-7.508059996537488
face,150.0,1350.037443062078,250.0,hold,-2.591500097320571e-20,-7.508063518882992
face,150.0,1350.067718681506,250.0,hold,-2.591502285907806e-20,-7.508069859632118
face,150.0,1350.1224744871392,250.0,hold,-2.591506210943566e-20,-7.508081231199431
face,150.0,1350.2215046079812,250.0,hold,-2.5915132029583028e-20,-7.508101488382066
face,150.0,1350.400608261385,250.0,hold,-2.5915255100454703e-20,-7.508137144329863
face,150.0,1350.7245311081915,250.0,hold,-2.591546719143072e-20,-7.508198591077304
face,150.0,1351.3103706971044,250.0,hold,-2.591581948415873e-20,-7.508300656910983
face,150.0,1352.3699070259609,250.0,hold,-2.591636885931895e-20,-7.508459821234492
face,150.0,1354.286160644548,250.0,hold,-2.5917138040771167e-20,-7.508682667577688
face,150.0,1357.7518539206937,250.0,hold,-2.591803169749373e-20,-7.5089415767494065
face,150.0,1364.0198289777609,250.0,hold,-2.5918781146547502e-20,-7.509158706245397
face,150.0,1375.3559479547152,250.0,hold,-2.5919142592618812e-20,-7.509263423974902
face,150.0,1395.8581982492133,250.0,hold,-2.5919214304786842e-20,-7.509284200339649
face,150.0,1432.9381078719666,250.0,hold,-2.591921792418584e-20,-7.509285248947658
face,150.0,1500.0,250.0,hold,-2.5919217944810477e-20,-7.509285254923004
face,150.0,1503.0,249.75,ramp,-2.5919667796564617e-20,-7.516932517960637
face,150.0,1506.0,249.5,ramp,-2.592080045736119e-20,-7.5247933252433326
face,150.0,1509.0,249.25,ramp,-2.5922310619040532e-20,-7.532779599652521
face,150.0,1512.0,249.0,ramp,-2.5924040900234408e-20,-7.540845939638987
face,150.0,1515.0,248.75,ramp,-2.5925901491749358e-20,-7.548966436442051
face,150.0,1518.0,248.5,ramp,-2.5927839491728763e-20,-7.557125834334282
face,150.0,1521.0,248.25,ramp,-2.592982320261557e-20,-7.565315002725978
face,150.0,1524.0,248.0,ramp,-2.593183336384215e-20,-7.57352840649875
face,150.0,1527.0,247.75,ramp,-2.593385811470842e-20,-7.581762651543722
face,150.0,1530.0,247.5,ramp,-2.593589005402927e-20,-7.590015635094424
face,150.0,1533.0,247.25,ramp,-2.5937924501246713e-20,-7.5982860428634735
face,150.0,1536.0,247.0,ramp,-2.593995845543736e-20,-7.606573047774623
face,150.0,1539.0,246.75,ramp,-2.5941989964696493e-20,-7.614876127323208
face,150.0,1542.0,246.5,ramp,-2.594401773968186e-20,-7.623194951567236
face,150.0,1545.0,246.25,ramp,-2.5946040914095912e-20,-7.6315293136553155
face,150.0,1548.0,246.0,ramp,-2.5948058894592533e-20,-7.639879086260208
face,150.0,1551.0,245.75,ramp,-2.595007126570512e-20,-7.648244193962845
face,150.0,1554.0,245.5,ramp,-2.5952077728992175e-20,-7.656624595562793
face,150.0,1557.0,245.25,ramp,-2.5954078063686114e-20,-7.665020272631069
face,150.0,1560.0,245.0,ramp,-2.5956072100993587e-20,-7.6734312220286895
face,150.0,1563.0,244.75,ramp,-2.5958059707149002e-20,-7.681857450969726
face,150.0,1566.0,244.5,ramp,-2.59600407721353e-20,-7.690298973732931
face,150.0,1569.0,244.25,ramp,-2.596201520210832e-20,-7.698755809451412
face,150.0,1572.0,244.0,ramp,-2.5963982914264048e-20,-7.707227980613883
face,150.0,1575.0,243.75,ramp,-2.5965943833331508e-20,-7.715715512039741
face,150.0,1578.0,243.5,ramp,-2.5967897889156875e-20,-7.7242184301724235
face,150.0,1581.0,243.25,ramp,-2.596984501502624e-20,-7.732736762588338
face,150.0,1584.0,243.0,ramp,-2.5971785146492595e-20,-7.741270537653062
face,150.0,1587.0,242.75,ramp,-2.5973718220549847e-20,-7.749819784278945
face,150.0,1590.0,242.5,ramp,-2.59756441750472e-20,-7.75838453175303
face,150.0,1593.0,242.25,ramp,-2.597756294827196e-20,-7.766964809614236
face,150.0,1596.0,242.0,ramp,-2.5979474478650608e-20,-7.775560647565204
face,150.0,1599.0,241.75,ramp,-2.5981378704534037e-20,-7.784172075408789
face,150.0,1602.0,241.5,ramp,-2.5983275564042964e-20,-7.792799123002224
face,150.0,1605.0,241.25,ramp,-2.5985164994956658e-20,-7.801441820223987
face,150.0,1608.0,241.0,ramp,-2.5987046934633313e-20,-7.810100196949986
face,150.0,1611.0,240.75,ramp,-2.5988921319953562e-20,-7.81877428303655
face,150.0,1614.0,240.5,ramp,-2.599078808728116e-20,-7.827464108308484
face,150.0,1617.0,240.25,ramp,-2.5992647172436565e-20,-7.836169702550944
face,150.0,1620.0,240.0,ramp,-2.5994498510680285e-20,-7.844891095504205
face,150.0,1620.0001,240.0,hold,-2.5994498572620314e-20,-7.844891114197114
face,150.0,1620.0001808577551,240.0,hold,-2.5994498622703282e-20,-7.844891129311675
face,150.0,1620.0003270952757,240.0,hold,-2.5994498713281438e-20,-7.844891156647296
face,150.0,1620.0005915771726,240.0,hold,-2.599449887709648e-20,-7.8448912060851095
face,150.0,1620.001069913194,240.0,hold,-2.599449917336029e-20,-7.844891295494694
face,150.0,1620.0019350209839,240.0,hold,-2.5994499709148886e-20,-7.8448914571905695
face,150.0,1620.0034996355116,240.0,hold,-2.599450067807422e-20,-7.84489174960297
face,150.0,1620.006329362222,240.0,hold,-2.599450243015688e-20,-7.844892278364765
face,150.0,1620.0114471424256,240.0,hold,-2.5994505597973064e-20,-7.844893234381399
face,150.0,1620.0207030448112,240.0,hold,-2.599451132407228e-20,-7.84489496246339
face,150.0,1620.037443062078,240.0,hold,-2.5994521669900802e-20,-7.8448980847355125
face,150.0,1620.067718681506,240.0,hold,-2.5994540347622077e-20,-7.8449037214932
face,150.0,1620.1224744871392,240.0,hold,-2.5994574018511133e-20,-7.844913883045562
face,150.0,1620.2215046079812,240.0,hold,-2.5994634560007944e-20,-7.8449321538904115
face,150.0,1620.400608261385,240.0,hold,-2.5994742906645698e-20,-7.844964851869694
face,150.0,1620.7245311081915,240.0,hold,-2.5994935184914467e-20,-7.845022879612675
face,150.0,1621.3103706971044,240.0,hold,-2.5995271351826305e-20,-7.845124331572297
face,150.0,1622.3699070259609,240.0,hold,-2.5995843813254864e-20,-7.845297094957656
face,150.0,1624.286160644548,240.0,hold,-2.599677499483259e-20,-7.845578116654012
face,150.0,1627.7518539206937,240.0,hold,-2.5998174436778934e-20,-7.846000454852191
face,150.0,1634.0198289777609,240.0,hold,-2.600000783548079e-20,-7.846553757049762
face,150.0,1645.3559479547152,240.0,hold,-2.6001895922361978e-20,-7.847123563616934
face,150.0,1665.8581982492133,240.0,hold,-2.6003177790073626e-20,-7.847510419035307
face,150.0,1702.9381078719666,240.0,hold,-2.60036149024196e-20,-7.847642335361727
face,150.0,1770.0,240.0,hold,-2.600366582534431e-20,-7.847657703413488
face,150.0,1773.0,239.75,ramp,-2.6003861885316732e-20,-7.8559001017110885
face,150.0,1776.0,239.5,ramp,-2.6004393226137633e-20,-7.864261103316204
face,150.0,1779.0,239.25,ramp,-2.6005174817103907e-20,-7.8727153381294634
face,150.0,1782.0,239.0,ramp,-2.600614809239122e-20,-7.881245350165582
face,150.0,1785.0,238.75,ramp,-2.6007270270824142e-20,-7.889838398921919
face,150.0,1788.0,238.5,ramp,-2.6008509003767942e-20,-7.898484858719077
face,150.0,1791.0,238.25,ramp,-2.600983932728843e-20,-7.907177308477888
face,150.0,1794.0,238.0,ramp,-2.6011241728198338e-20,-7.9159099547448655
face,150.0,1797.0,237.75,ramp,-2.6012700818211057e-20,-7.924678236335234
face,150.0,1800.0,237.5,ramp,-2.601420437886743e-20,-7.933478539552563
face,150.0,1803.0,237.25,ramp,-2.601574265246075e-20,-7.94230798670834
face,150.0,1806.0,237.0,ramp,-2.601730780573936e-20,-7.951164276105715
face,150.0,1809.0,236.75,ramp,-2.6018893519387874e-20,-7.960045559489273
face,150.0,1812.0,236.5,ramp,-2.6020494671131187e-20,-7.96895034739015
face,150.0,1815.0,236.25,ramp,-2.602210708952497e-20,-7.97787743554128
face,150.0,1818.0,236.0,ramp,-2.6023727361636237e-20,-7.986825847364093
face,150.0,1821.0,235.75,ramp,-2.6025352682105236e-20,-7.995794788802914
face,150.0,1824.0,235.5,ramp,-2.602698073416766e-20,-8.00478361270129
face,150.0,1827.0,235.25,ramp,-2.6028609595483853e-20,-8.013791790588876
face,150.0,1830.0,235.0,ramp,-2.6030237663309525e-20,-8.022818890249479
face,150.0,1833.0,234.75,ramp,-2.6031863594809435e-20,-8.031864557818006
face,150.0,1836.0,234.5,ramp,-2.6033486259274673e-20,-8.040928503439524
face,150.0,1839.0,234.25,ramp,-2.6035104699732426e-20,-8.050010489740632
face,150.0,1842.0,234.0,ramp,-2.6036718101994882e-20,-8.059110322529564
face,150.0,1845.0,233.75,ramp,-2.6038325769621255e-20,-8.068227843268843
face,150.0,1848.0,233.5,ramp,-2.6039927103596355e-20,-8.077362922962621
